ID,average_daily_total,Week_01_avg,Week_01_total,Week_02_avg,Week_02_total,Week_03_avg,Week_03_total,Week_04_avg,Week_04_total,Week_05_avg,Week_05_total,Week_06_avg,Week_06_total,Week_07_avg,Week_07_total,Week_08_avg,Week_08_total,Week_09_avg,Week_09_total,Week_10_avg,Week_10_total,Week_11_avg,Week_11_total,Week_12_avg,Week_12_total,Week_13_avg,Week_13_total,Week_14_avg,Week_14_total,Week_15_avg,Week_15_total,Week_16_avg,Week_16_total,Week_17_avg,Week_17_total,Week_18_avg,Week_18_total,Week_19_avg,Week_19_total,Week_20_avg,Week_20_total,Week_21_avg,Week_21_total,Week_22_avg,Week_22_total,Week_23_avg,Week_23_total,Week_24_avg,Week_24_total,Week_25_avg,Week_25_total,Week_26_avg,Week_26_total,Week_27_avg,Week_27_total
101,11560.88,,,,,16168.5,97011.0,9158.14,64107.0,9220.0,55320.0,15606.43,109245.0,11363.67,34091.0,12827.43,89792.0,20475.17,122851.0,13607.17,81643.0,11386.0,79702.0,10432.86,73030.0,10354.33,62126.0,12143.0,36429.0,12297.2,61486.0,11737.33,70424.0,10256.14,71793.0,7465.6,37328.0,11703.6,58518.0,9815.0,58890.0,8322.57,58258.0,6115.8,30579.0,,,,,,,,,,
102,13998.62,8994.33,53966.0,12186.0,85302.0,20595.71,144170.0,7599.14,53194.0,13963.71,97746.0,16481.57,115371.0,12885.5,77313.0,13995.86,97971.0,13912.71,97389.0,15429.29,108005.0,12718.29,89028.0,19766.71,138367.0,15314.71,107203.0,15203.14,106422.0,16893.43,118254.0,15430.67,92584.0,17233.71,120636.0,7565.17,45391.0,12596.29,88174.0,14875.0,104125.0,10617.57,74323.0,867.0,867.0,,,,,,,,,,
103,14758.11,11746.5,70479.0,11349.57,79447.0,16227.86,113595.0,6014.43,42101.0,11907.71,83354.0,19434.43,136041.0,11913.0,83391.0,11932.71,83529.0,24140.86,168986.0,12752.57,89268.0,16129.14,112904.0,15233.0,106631.0,24590.57,172134.0,15244.43,106711.0,15744.71,110213.0,16663.43,116644.0,13882.14,97175.0,9311.71,65182.0,15943.57,111605.0,14649.14,102544.0,16017.67,96106.0,11588.0,23176.0,12984.0,12984.0,,,,,,,,
104,13974.97,6313.25,25253.0,9620.14,67341.0,11125.29,77877.0,9255.71,64790.0,16119.0,112833.0,19642.14,137495.0,14904.0,89424.0,13323.57,93265.0,15671.43,109700.0,14726.29,103084.0,13602.14,95215.0,22588.5,135531.0,23763.43,166344.0,14269.57,99887.0,14542.29,101796.0,17135.0,102810.0,15608.0,62432.0,7000.0,42000.0,8989.6,44948.0,10277.43,71942.0,11807.71,82654.0,,,,,,,,,,,,
105,16407.59,10567.33,63404.0,15962.71,111739.0,17112.14,119785.0,9823.57,68765.0,13260.57,92824.0,22862.29,160036.0,14689.0,88134.0,16496.71,115477.0,18841.0,131887.0,18153.43,127074.0,19007.71,133054.0,19003.71,133026.0,21273.71,148916.0,15714.0,109998.0,17588.57,123120.0,22043.83,132263.0,13332.29,93326.0,12539.86,87779.0,17139.71,119978.0,15523.14,108662.0,17744.83,106469.0,12980.71,90865.0,10965.0,10965.0,,,,,,,,
106,15744.72,15943.25,63773.0,12019.29,84135.0,21874.71,153123.0,8571.14,59998.0,16408.71,114861.0,17263.0,120841.0,15243.71,106706.0,13998.5,83991.0,17937.43,125562.0,17267.0,120869.0,16045.0,112315.0,21045.71,147320.0,24780.86,173466.0,15496.29,108474.0,15388.14,107717.0,16657.0,99942.0,13822.14,96755.0,6865.4,34327.0,15183.43,106284.0,16386.67,98320.0,17257.71,120804.0,6471.75,25887.0,1769.0,1769.0,,,,,,,,
107,16128.1,9401.8,47009.0,14320.86,100246.0,14642.29,102496.0,8543.33,51260.0,12444.71,87113.0,19740.0,138180.0,17782.8,88914.0,16103.29,112723.0,16739.71,117178.0,18765.29,131357.0,18489.0,129423.0,21665.14,151656.0,28715.67,172294.0,17692.4,88462.0,14245.14,99716.0,10614.5,42458.0,15686.29,109804.0,13033.0,26066.0,18871.0,37742.0,12927.25,51709.0,14958.75,59835.0,5859.0,5859.0,,,,,,,,,,
108,13859.34,12670.0,50680.0,9646.14,67523.0,11899.29,83295.0,11155.25,44621.0,14217.29,99521.0,14788.0,103516.0,12770.5,51082.0,15768.86,110382.0,17296.86,121078.0,16122.71,112859.0,14407.29,100851.0,18042.6,90213.0,21451.5,128709.0,14756.33,88538.0,14570.17,87421.0,15111.4,75557.0,14082.83,84497.0,7208.86,50462.0,11967.14,83770.0,10239.83,61439.0,13120.14,91841.0,,,,,,,,,,,,
109,18689.27,11119.33,66716.0,16906.57,118346.0,17580.86,123066.0,11589.29,81125.0,22645.71,158520.0,24611.29,172279.0,17434.71,122043.0,19368.29,135578.0,18073.71,126516.0,21450.57,150154.0,18883.29,132183.0,21405.71,149840.0,26411.17,158467.0,20488.14,143417.0,17754.71,124283.0,23394.86,163764.0,20238.0,141666.0,9647.4,48237.0,19572.43,137007.0,17905.71,125340.0,19326.29,135284.0,13012.83,78077.0,11482.0,11482.0,,,,,,,,
110,14552.84,10952.67,65716.0,10903.33,65420.0,11525.86,80681.0,9920.57,69444.0,15285.86,107001.0,17268.71,120881.0,14312.83,85877.0,14200.71,99405.0,16479.17,98875.0,15415.29,107907.0,14509.29,101565.0,19229.57,134607.0,26530.6,132653.0,15742.29,110196.0,14842.67,89056.0,14971.43,104800.0,14028.43,98199.0,8516.57,59616.0,13489.86,94429.0,15998.0,79990.0,14579.0,58316.0,,,,,,,,,,,,
